ID	Gene Name	Species	GOTERM_BP_DIRECT
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens	GO:0001922~B-1 B cell homeostasis,GO:0001934~positive regulation of protein phosphorylation,GO:0002322~B cell proliferation involved in immune response,GO:0002333~transitional one stage B cell differentiation,GO:0006298~mismatch repair,GO:0006355~regulation of transcription, DNA-templated,GO:0006464~cellular protein modification process,GO:0006914~autophagy,GO:0006974~cellular response to DNA damage stimulus,GO:0006975~DNA damage induced protein phosphorylation,GO:0006979~response to oxidative stress,GO:0007050~cell cycle arrest,GO:0007067~mitotic nuclear division,GO:0007173~epidermal growth factor receptor signaling pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0008306~associative learning,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,GO:0010506~regulation of autophagy,GO:0016477~cell migration,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0021587~cerebellum morphogenesis,GO:0022408~negative regulation of cell-cell adhesion,GO:0030035~microspike assembly,GO:0030036~actin cytoskeleton organization,GO:0030041~actin filament polymerization,GO:0030100~regulation of endocytosis,GO:0030155~regulation of cell adhesion,GO:0030514~negative regulation of BMP signaling pathway,GO:0030516~regulation of axon extension,GO:0031113~regulation of microtubule polymerization,GO:0032956~regulation of actin cytoskeleton organization,GO:0033690~positive regulation of osteoblast proliferation,GO:0034446~substrate adhesion-dependent cell spreading,GO:0034599~cellular response to oxidative stress,GO:0034976~response to endoplasmic reticulum stress,GO:0035791~platelet-derived growth factor receptor-beta signaling pathway,GO:0038083~peptidyl-tyrosine autophosphorylation,GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0042127~regulation of cell proliferation,GO:0042493~response to drug,GO:0042770~signal transduction in response to DNA damage,GO:0043065~positive regulation of apoptotic process,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043124~negative regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043525~positive regulation of neuron apoptotic process,GO:0045087~innate immune response,GO:0045184~establishment of protein localization,GO:0045907~positive regulation of vasoconstriction,GO:0045930~negative regulation of mitotic cell cycle,GO:0045931~positive regulation of mitotic cell cycle,GO:0046632~alpha-beta T cell differentiation,GO:0046777~protein autophosphorylation,GO:0048146~positive regulation of fibroblast proliferation,GO:0048536~spleen development,GO:0048538~thymus development,GO:0048668~collateral sprouting,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050798~activated T cell proliferation,GO:0050853~B cell receptor signaling pathway,GO:0050885~neuromuscular process controlling balance,GO:0051149~positive regulation of muscle cell differentiation,GO:0051281~positive regulation of release of sequestered calcium ion into cytosol,GO:0051353~positive regulation of oxidoreductase activity,GO:0051444~negative regulation of ubiquitin-protein transferase activity,GO:0051882~mitochondrial depolarization,GO:0060020~Bergmann glial cell differentiation,GO:0070301~cellular response to hydrogen peroxide,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071222~cellular response to lipopolysaccharide,GO:0071560~cellular response to transforming growth factor beta stimulus,GO:0071871~response to epinephrine,GO:0071901~negative regulation of protein serine/threonine kinase activity,GO:0090135~actin filament branching,GO:1900006~positive regulation of dendrite development,GO:1900042~positive regulation of interleukin-2 secretion,GO:1900275~negative regulation of phospholipase C activity,GO:1901216~positive regulation of neuron death,GO:1901300~positive regulation of hydrogen peroxide-mediated programmed cell death,GO:1902715~positive regulation of interferon-gamma secretion,GO:1903053~regulation of extracellular matrix organization,GO:1903055~positive regulation of extracellular matrix organization,GO:1903210~glomerular visceral epithelial cell apoptotic process,GO:1903351~cellular response to dopamine,GO:1904528~positive regulation of microtubule binding,GO:1904531~positive regulation of actin filament binding,GO:1990051~activation of protein kinase C activity,GO:2000096~positive regulation of Wnt signaling pathway, planar cell polarity pathway,GO:2000145~regulation of cell motility,GO:2000249~regulation of actin cytoskeleton reorganization,GO:2000352~negative regulation of endothelial cell apoptotic process,GO:2000773~negative regulation of cellular senescence,GO:2001020~regulation of response to DNA damage stimulus,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens	GO:0001701~in utero embryonic development,GO:0006468~protein phosphorylation,GO:0006509~membrane protein ectodomain proteolysis,GO:0007162~negative regulation of cell adhesion,GO:0007219~Notch signaling pathway,GO:0007220~Notch receptor processing,GO:0007229~integrin-mediated signaling pathway,GO:0007267~cell-cell signaling,GO:0008284~positive regulation of cell proliferation,GO:0010820~positive regulation of T cell chemotaxis,GO:0016485~protein processing,GO:0022617~extracellular matrix disassembly,GO:0030307~positive regulation of cell growth,GO:0030335~positive regulation of cell migration,GO:0034612~response to tumor necrosis factor,GO:0042117~monocyte activation,GO:0048013~ephrin receptor signaling pathway,GO:0051088~PMA-inducible membrane protein ectodomain proteolysis,GO:0051089~constitutive protein ectodomain proteolysis,
ADAM17	ADAM metallopeptidase domain 17(ADAM17)	Homo sapiens	GO:0001666~response to hypoxia,GO:0001934~positive regulation of protein phosphorylation,GO:0002446~neutrophil mediated immunity,GO:0002467~germinal center formation,GO:0002690~positive regulation of leukocyte chemotaxis,GO:0006508~proteolysis,GO:0006509~membrane protein ectodomain proteolysis,GO:0007155~cell adhesion,GO:0007173~epidermal growth factor receptor signaling pathway,GO:0007219~Notch signaling pathway,GO:0007220~Notch receptor processing,GO:0008284~positive regulation of cell proliferation,GO:0010820~positive regulation of T cell chemotaxis,GO:0030183~B cell differentiation,GO:0030307~positive regulation of cell growth,GO:0030335~positive regulation of cell migration,GO:0030511~positive regulation of transforming growth factor beta receptor signaling pathway,GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway,GO:0031293~membrane protein intracellular domain proteolysis,GO:0031659~positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle,GO:0032496~response to lipopolysaccharide,GO:0032722~positive regulation of chemokine production,GO:0033025~regulation of mast cell apoptotic process,GO:0033077~T cell differentiation in thymus,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0033627~cell adhesion mediated by integrin,GO:0035313~wound healing, spreading of epidermal cells,GO:0035625~epidermal growth factor-activated receptor transactivation by G-protein coupled receptor signaling pathway,GO:0042493~response to drug,GO:0045741~positive regulation of epidermal growth factor-activated receptor activity,GO:0048536~spleen development,GO:0048870~cell motility,GO:0050830~defense response to Gram-positive bacterium,GO:0051088~PMA-inducible membrane protein ectodomain proteolysis,GO:0051272~positive regulation of cellular component movement,GO:0055099~response to high density lipoprotein particle,
ADAM33	ADAM metallopeptidase domain 33(ADAM33)	Homo sapiens	GO:0006508~proteolysis,GO:0007229~integrin-mediated signaling pathway,
ADAM8	ADAM metallopeptidase domain 8(ADAM8)	Homo sapiens	GO:0000902~cell morphogenesis,GO:0001525~angiogenesis,GO:0002523~leukocyte migration involved in inflammatory response,GO:0002675~positive regulation of acute inflammatory response,GO:0006508~proteolysis,GO:0006954~inflammatory response,GO:0007229~integrin-mediated signaling pathway,GO:0010954~positive regulation of protein processing,GO:0016337~single organismal cell-cell adhesion,GO:0022407~regulation of cell-cell adhesion,GO:0022617~extracellular matrix disassembly,GO:0033089~positive regulation of T cell differentiation in thymus,GO:0035419~activation of MAPK activity involved in innate immune response,GO:0043524~negative regulation of neuron apoptotic process,GO:0045780~positive regulation of bone resorption,GO:0045785~positive regulation of cell adhesion,GO:0048247~lymphocyte chemotaxis,GO:0050714~positive regulation of protein secretion,GO:0051044~positive regulation of membrane protein ectodomain proteolysis,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051897~positive regulation of protein kinase B signaling,GO:0070245~positive regulation of thymocyte apoptotic process,GO:0071456~cellular response to hypoxia,GO:2000309~positive regulation of tumor necrosis factor (ligand) superfamily member 11 production,GO:2000391~positive regulation of neutrophil extravasation,GO:2000415~positive regulation of fibronectin-dependent thymocyte migration,GO:2000418~positive regulation of eosinophil migration,
ADAM9	ADAM metallopeptidase domain 9(ADAM9)	Homo sapiens	GO:0000186~activation of MAPKK activity,GO:0006509~membrane protein ectodomain proteolysis,GO:0007155~cell adhesion,GO:0007160~cell-matrix adhesion,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0007229~integrin-mediated signaling pathway,GO:0010042~response to manganese ion,GO:0016477~cell migration,GO:0030216~keratinocyte differentiation,GO:0033627~cell adhesion mediated by integrin,GO:0033630~positive regulation of cell adhesion mediated by integrin,GO:0033631~cell-cell adhesion mediated by integrin,GO:0034241~positive regulation of macrophage fusion,GO:0034612~response to tumor necrosis factor,GO:0034616~response to laminar fluid shear stress,GO:0042117~monocyte activation,GO:0042542~response to hydrogen peroxide,GO:0050714~positive regulation of protein secretion,GO:0051044~positive regulation of membrane protein ectodomain proteolysis,GO:0051088~PMA-inducible membrane protein ectodomain proteolysis,GO:0051384~response to glucocorticoid,GO:0051549~positive regulation of keratinocyte migration,GO:0051592~response to calcium ion,GO:0071222~cellular response to lipopolysaccharide,
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1(ADAMTS1)	Homo sapiens	GO:0001542~ovulation from ovarian follicle,GO:0001822~kidney development,GO:0006508~proteolysis,GO:0007229~integrin-mediated signaling pathway,GO:0008285~negative regulation of cell proliferation,GO:0060347~heart trabecula formation,
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13(ADAMTS13)	Homo sapiens	GO:0006508~proteolysis,GO:0007160~cell-matrix adhesion,GO:0007229~integrin-mediated signaling pathway,GO:0009100~glycoprotein metabolic process,GO:0009636~response to toxic substance,GO:0014075~response to amine,GO:0016485~protein processing,GO:0030168~platelet activation,GO:0035864~response to potassium ion,GO:0036066~protein O-linked fucosylation,GO:0043171~peptide catabolic process,GO:0071222~cellular response to lipopolysaccharide,GO:0071346~cellular response to interferon-gamma,GO:0071353~cellular response to interleukin-4,GO:0071356~cellular response to tumor necrosis factor,
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3(ADAMTS3)	Homo sapiens	GO:0007229~integrin-mediated signaling pathway,GO:0010573~vascular endothelial growth factor production,GO:0016485~protein processing,GO:0030199~collagen fibril organization,GO:0030574~collagen catabolic process,GO:0032964~collagen biosynthetic process,GO:0043206~extracellular fibril organization,GO:1900748~positive regulation of vascular endothelial growth factor signaling pathway,
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4(ADAMTS4)	Homo sapiens	GO:0001501~skeletal system development,GO:0006508~proteolysis,GO:0022617~extracellular matrix disassembly,
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5(ADAMTS5)	Homo sapiens	GO:0006508~proteolysis,GO:0022617~extracellular matrix disassembly,GO:0036066~protein O-linked fucosylation,GO:0042742~defense response to bacterium,GO:0044691~tooth eruption,
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7(ADAMTS7)	Homo sapiens	GO:0032331~negative regulation of chondrocyte differentiation,GO:0036066~protein O-linked fucosylation,GO:0051603~proteolysis involved in cellular protein catabolic process,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071773~cellular response to BMP stimulus,
ARF1	ADP ribosylation factor 1(ARF1)	Homo sapiens	GO:0002090~regulation of receptor internalization,GO:0006661~phosphatidylinositol biosynthetic process,GO:0006878~cellular copper ion homeostasis,GO:0006892~post-Golgi vesicle-mediated transport,GO:0007015~actin filament organization,GO:0007264~small GTPase mediated signal transduction,GO:0015031~protein transport,GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0034315~regulation of Arp2/3 complex-mediated actin nucleation,GO:0034379~very-low-density lipoprotein particle assembly,GO:0043085~positive regulation of catalytic activity,GO:0045807~positive regulation of endocytosis,GO:0045956~positive regulation of calcium ion-dependent exocytosis,GO:0050690~regulation of defense response to virus by virus,GO:0050714~positive regulation of protein secretion,GO:0055108~Golgi to transport vesicle transport,GO:0060292~long term synaptic depression,GO:0060999~positive regulation of dendritic spine development,GO:0070142~synaptic vesicle budding,GO:0097061~dendritic spine organization,GO:0097212~lysosomal membrane organization,GO:1902307~positive regulation of sodium ion transmembrane transport,GO:1902824~positive regulation of late endosome to lysosome transport,GO:1902953~positive regulation of ER to Golgi vesicle-mediated transport,GO:1903725~regulation of phospholipid metabolic process,
ARL2	ADP ribosylation factor like GTPase 2(ARL2)	Homo sapiens	GO:0007021~tubulin complex assembly,GO:0007049~cell cycle,GO:0007264~small GTPase mediated signal transduction,GO:0010811~positive regulation of cell-substrate adhesion,GO:0031113~regulation of microtubule polymerization,GO:0031116~positive regulation of microtubule polymerization,GO:0034260~negative regulation of GTPase activity,GO:0050796~regulation of insulin secretion,GO:0051297~centrosome organization,GO:0051457~maintenance of protein location in nucleus,GO:0070830~bicellular tight junction assembly,
ART1	ADP-ribosyltransferase 1(ART1)	Homo sapiens	GO:0006471~protein ADP-ribosylation,
